#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
       109   -1.4589237974e+01    2.1297324865e+02   -3.2568928940e+01    1.7979690966e+01    4.0032196899e+00   -3.6572148630e+01    1.6000000000e+01    4.4916570187e-04    6.1197916667e-01
       110   -1.4616084831e+01    2.1374745063e+02   -2.5515714342e+01    1.0899629510e+01    4.4304999027e+00   -2.9946214244e+01    1.6000000000e+01    4.8130750656e-04    5.9635416667e-01
       111   -1.4625020302e+01    2.1401023458e+02   -2.7352486264e+01    1.2727465962e+01    4.4459518110e+00   -3.1798438075e+01    1.6000000000e+01    4.8181414604e-04    6.2083333333e-01
       112   -1.4780546613e+01    2.1861004909e+02   -3.5967864697e+01    2.1187318083e+01    3.9490161487e+00   -3.9916880845e+01    1.6000000000e+01    4.5537948608e-04    5.9479166667e-01
       113   -1.4705891016e+01    2.1640451135e+02   -3.3147353540e+01    1.8441462525e+01    4.5020402217e+00   -3.7649393762e+01    1.6000000000e+01    4.5880675316e-04    5.9687500000e-01
       114   -1.4500251228e+01    2.1039544037e+02   -2.9209988006e+01    1.4709736779e+01    4.0811747743e+00   -3.3291162781e+01    1.6000000000e+01    4.2609870434e-04    5.8750000000e-01
       115   -1.4504931783e+01    2.1047841294e+02   -3.2236613421e+01    1.7731681638e+01    3.7462701397e+00   -3.5982883561e+01    1.6000000000e+01    4.2793154716e-04    6.0677083333e-01
       116   -1.4791376274e+01    2.1897986233e+02   -2.7904028881e+01    1.3112652608e+01    3.9117270312e+00   -3.1815755913e+01    1.6000000000e+01    4.3824315071e-04    5.9114583333e-01
       117   -1.4460094666e+01    2.0941724999e+02   -2.8535912950e+01    1.4075818283e+01    4.2349147445e+00   -3.2770827694e+01    1.6000000000e+01    4.3404102325e-04    5.9583333333e-01
       118   -1.4644062694e+01    2.1466709966e+02   -2.8110681053e+01    1.3466618358e+01    4.3013664472e+00   -3.2412047500e+01    1.6000000000e+01    4.4737756252e-04    5.9375000000e-01
       119   -1.4500461607e+01    2.1044582359e+02   -3.0600423448e+01    1.6099961841e+01    4.2966387117e+00   -3.4897062160e+01    1.6000000000e+01    4.5749545097e-04    6.0364583333e-01
       120   -1.4732831594e+01    2.1716277793e+02   -2.7193840672e+01    1.2461009078e+01    5.7122638829e+00   -3.2906104555e+01    1.6000000000e+01    4.8007071018e-04    6.0052083333e-01
       121   -1.4553900612e+01    2.1203813145e+02   -3.3642801580e+01    1.9088900967e+01    4.9713582367e+00   -3.8614159816e+01    1.6000000000e+01    4.6144425869e-04    5.9583333333e-01
       122   -1.4593179462e+01    2.1305049787e+02   -3.0778082347e+01    1.6184902886e+01    4.6229663894e+00   -3.5401048737e+01    1.6000000000e+01    4.3861567974e-04    5.9270833333e-01
       123   -1.4631138527e+01    2.1418811355e+02   -3.0489678387e+01    1.5858539860e+01    4.4411383053e+00   -3.4930816692e+01    1.6000000000e+01    4.3499469757e-04    5.9062500000e-01
       124   -1.4430173334e+01    2.0840795022e+02   -3.4317427431e+01    1.9887254096e+01    5.7200010053e+00   -4.0037428436e+01    1.6000000000e+01    4.1142106056e-04    5.7291666667e-01
       125   -1.4688985409e+01    2.1600234689e+02   -3.1065958820e+01    1.6376973411e+01    5.7171114847e+00   -3.6783070305e+01    1.6000000000e+01    4.6466290951e-04    5.9895833333e-01
       126   -1.4530847250e+01    2.1127617576e+02   -2.8673330338e+01    1.4142483089e+01    4.3034252031e+00   -3.2976755542e+01    1.6000000000e+01    4.3560564518e-04    6.1510416667e-01
       127   -1.4506024221e+01    2.1051448807e+02   -2.8537704825e+01    1.4031680603e+01    4.4664523958e+00   -3.3004157221e+01    1.6000000000e+01    4.6685338020e-04    5.8854166667e-01
       128   -1.4743035299e+01    2.1748627594e+02   -3.3284443827e+01    1.8541408528e+01    5.3465473933e+00   -3.8630991220e+01    1.6000000000e+01    4.4029951096e-04    5.7812500000e-01
       129   -1.4439715833e+01    2.0874279292e+02   -7.0941708440e+01    5.6501992608e+01    4.9677616032e+00   -7.5909470043e+01    1.6000000000e+01    4.3509900570e-04    5.9635416667e-01
       130   -1.4457442200e+01    2.0925266504e+02   -3.7809035197e+01    2.3351592998e+01    4.4259199846e+00   -4.2234955182e+01    1.6000000000e+01    4.3796002865e-04    5.9843750000e-01
       131   -1.4581988999e+01    2.1271246622e+02   -3.2762038030e+01    1.8180049031e+01    3.9285780203e+00   -3.6690616050e+01    1.6000000000e+01    4.2958557606e-04    5.9427083333e-01
       132   -1.4675964064e+01    2.1550593563e+02   -2.3137680242e+01    8.4617161780e+00    5.2536582250e+00   -2.8391338467e+01    1.6000000000e+01    4.4672191143e-04    6.0520833333e-01
       133   -1.4700552023e+01    2.1624167435e+02   -3.1884681787e+01    1.7184129764e+01    3.8061665330e+00   -3.5690848320e+01    1.6000000000e+01    4.3600797653e-04    6.0677083333e-01
